INFO 2024-07-22 18:41:48,477 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-22 18:41:48,478 autoreload Waiting for apps ready_event.
DEBUG 2024-07-22 18:41:48,637 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-07-22 18:41:48,649 autoreload Watching dir F:\Learnings\DS\Final_Project\houseprice\predictor\templates with glob **/*.
DEBUG 2024-07-22 18:41:48,649 autoreload Watching dir F:\Learnings\DS\Final_Project\houseprice\locale with glob **/*.mo.
DEBUG 2024-07-22 18:41:48,801 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1721637561.2716742
DEBUG 2024-07-22 18:41:48,802 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1721637561.0856743
DEBUG 2024-07-22 18:41:48,803 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1721637563.227674
DEBUG 2024-07-22 18:41:48,803 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1721637563.2736742
DEBUG 2024-07-22 18:41:48,804 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\email\parser.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,804 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\utils\version.py first seen with mtime 1721637563.464674
DEBUG 2024-07-22 18:41:48,804 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\_markupbase.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,805 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\email\quoprimime.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,805 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\json\scanner.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,805 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1721637559.8366742
DEBUG 2024-07-22 18:41:48,806 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\views\static.py first seen with mtime 1721637563.4736743
DEBUG 2024-07-22 18:41:48,806 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\asgiref\local.py first seen with mtime 1721637560.1296744
DEBUG 2024-07-22 18:41:48,807 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\requests\api.py first seen with mtime 1721560092.5560987
DEBUG 2024-07-22 18:41:48,807 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1721637563.1366742
DEBUG 2024-07-22 18:41:48,807 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\zoneinfo\_common.py first seen with mtime 1630341326.0
DEBUG 2024-07-22 18:41:48,808 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\urllib3\util\ssltransport.py first seen with mtime 1721560051.6820996
DEBUG 2024-07-22 18:41:48,808 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1721637562.7546747
DEBUG 2024-07-22 18:41:48,809 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\http\client.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,809 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\contrib\admin\views\main.py first seen with mtime 1721637561.0886762
DEBUG 2024-07-22 18:41:48,809 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1721637563.4766736
DEBUG 2024-07-22 18:41:48,810 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\warnings.py first seen with mtime 1630341326.0
DEBUG 2024-07-22 18:41:48,810 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\email\iterators.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,811 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\os.py first seen with mtime 1630341326.0
DEBUG 2024-07-22 18:41:48,811 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\email\mime\nonmultipart.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,812 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1721637563.1616743
DEBUG 2024-07-22 18:41:48,812 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\core\checks\files.py first seen with mtime 1721637563.1586747
DEBUG 2024-07-22 18:41:48,812 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1721637563.2696743
DEBUG 2024-07-22 18:41:48,813 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\DLLs\select.pyd first seen with mtime 1630341402.0
DEBUG 2024-07-22 18:41:48,813 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1721637563.4746737
DEBUG 2024-07-22 18:41:48,814 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\queue.py first seen with mtime 1630341326.0
DEBUG 2024-07-22 18:41:48,814 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\requests\structures.py first seen with mtime 1721560092.5660975
DEBUG 2024-07-22 18:41:48,814 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1721637559.8396742
DEBUG 2024-07-22 18:41:48,815 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\contrib\sessions\middleware.py first seen with mtime 1721637562.7566743
DEBUG 2024-07-22 18:41:48,815 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1721637563.179674
DEBUG 2024-07-22 18:41:48,815 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1721637563.417675
DEBUG 2024-07-22 18:41:48,816 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\site.py first seen with mtime 1630341326.0
DEBUG 2024-07-22 18:41:48,816 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\template\utils.py first seen with mtime 1721637563.408674
DEBUG 2024-07-22 18:41:48,817 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\utils\http.py first seen with mtime 1721637563.452674
DEBUG 2024-07-22 18:41:48,817 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\difflib.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,817 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1721637563.2176743
DEBUG 2024-07-22 18:41:48,818 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\email\mime\multipart.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,818 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1721637561.2646737
DEBUG 2024-07-22 18:41:48,818 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\requests\exceptions.py first seen with mtime 1721560092.5600982
DEBUG 2024-07-22 18:41:48,819 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1721637563.2776732
DEBUG 2024-07-22 18:41:48,819 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\charset_normalizer\cd.py first seen with mtime 1721560087.3550985
DEBUG 2024-07-22 18:41:48,820 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\urllib3\_request_methods.py first seen with mtime 1721560051.6590984
DEBUG 2024-07-22 18:41:48,820 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\DLLs\_lzma.pyd first seen with mtime 1630341402.0
DEBUG 2024-07-22 18:41:48,821 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\db\models\options.py first seen with mtime 1721637563.288674
DEBUG 2024-07-22 18:41:48,821 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\keyword.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,821 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\struct.py first seen with mtime 1630341326.0
DEBUG 2024-07-22 18:41:48,822 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\utils\log.py first seen with mtime 1721637563.4556737
DEBUG 2024-07-22 18:41:48,822 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\urllib\parse.py first seen with mtime 1630341326.0
DEBUG 2024-07-22 18:41:48,823 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\email\charset.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,823 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\colorama\ansitowin32.py first seen with mtime 1720422780.7069309
DEBUG 2024-07-22 18:41:48,823 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\http\__init__.py first seen with mtime 1721637563.3876736
DEBUG 2024-07-22 18:41:48,824 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1721637563.1816742
DEBUG 2024-07-22 18:41:48,824 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1721637563.477674
DEBUG 2024-07-22 18:41:48,824 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\genericpath.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,825 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\sqlparse\utils.py first seen with mtime 1721637559.8336737
DEBUG 2024-07-22 18:41:48,825 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\wsgiref\__init__.py first seen with mtime 1630341326.0
DEBUG 2024-07-22 18:41:48,826 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\idna\idnadata.py first seen with mtime 1721560086.1320977
DEBUG 2024-07-22 18:41:48,826 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\urllib\request.py first seen with mtime 1630341326.0
DEBUG 2024-07-22 18:41:48,826 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\requests\auth.py first seen with mtime 1721560092.557099
DEBUG 2024-07-22 18:41:48,827 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\collections\__init__.py first seen with mtime 1630341324.0
